TextNr.,PosWords,NegWords,hasShift,NrPron,hasExcl,logNr,Label
1,0,2,1,0,1,2.772588722239781,positive
2,4,2,1,0,0,3.258096538021482,negative
3,1,0,0,0,0,2.302585092994046,positive
4,6,0,0,0,0,2.833213344056216,positive
5,3,1,1,0,0,2.8903717578961645,negative
6,3,1,0,0,0,3.1780538303479458,negative
7,2,2,1,0,0,3.4339872044851463,negative
8,2,0,1,0,0,2.302585092994046,negative
9,1,1,0,0,0,2.6390573296152584,negative
10,1,2,0,0,0,2.70805020110221,positive
11,3,0,1,0,0,3.332204510175204,negative
12,2,4,0,0,0,2.995732273553991,negative
13,3,1,0,0,0,3.258096538021482,negative
14,2,2,0,0,0,2.6390573296152584,negative
15,0,2,1,0,0,2.772588722239781,negative
16,1,0,0,0,0,1.791759469228055,positive
17,2,1,0,0,0,2.3978952727983707,negative
18,6,2,0,0,0,2.9444389791664403,positive
19,3,0,0,0,0,1.9459101490553132,positive
20,4,4,0,0,0,3.295836866004329,negative
21,2,2,0,0,0,2.3978952727983707,positive
22,2,0,0,0,0,2.5649493574615367,positive
23,6,2,0,0,1,3.6888794541139363,negative
24,2,3,1,0,0,3.2188758248682006,negative
25,6,9,1,1,0,3.7376696182833684,negative
26,4,3,0,0,0,2.8903717578961645,negative
27,0,0,0,0,0,2.772588722239781,positive
28,2,2,1,0,0,2.772588722239781,positive
29,3,2,1,0,0,2.833213344056216,positive
30,5,2,1,0,0,3.1780538303479458,positive
31,0,0,1,0,1,2.4849066497880004,positive
32,0,0,0,0,0,2.3978952727983707,negative
33,4,2,1,0,0,3.258096538021482,negative
34,2,0,1,0,0,3.044522437723423,negative
35,1,1,0,0,0,2.6390573296152584,positive
36,2,3,0,0,0,2.8903717578961645,positive
37,5,2,1,0,0,3.8066624897703196,negative
38,7,1,1,0,0,3.4657359027997265,positive
39,1,1,0,0,1,2.5649493574615367,positive
40,0,2,1,0,0,2.772588722239781,negative
41,2,2,0,0,0,1.9459101490553132,negative
42,5,3,0,0,0,3.4339872044851463,positive
43,6,0,1,0,0,2.995732273553991,positive
44,1,0,1,0,0,2.833213344056216,negative
45,6,3,1,0,0,3.4011973816621555,negative
46,1,2,0,0,0,2.0794415416798357,positive
47,1,2,0,0,0,2.4849066497880004,negative
48,2,1,1,0,0,2.3978952727983707,negative
49,5,0,0,0,0,2.4849066497880004,positive
50,3,1,0,0,0,2.772588722239781,positive
51,1,0,0,0,0,2.3978952727983707,positive
52,9,2,1,0,0,3.912023005428146,positive
53,1,1,1,0,0,2.0794415416798357,positive
54,0,1,0,0,0,2.8903717578961645,negative
55,0,0,0,0,1,1.9459101490553132,positive
56,0,0,1,0,0,1.791759469228055,negative
